"id","clee","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"11763585","01003212321000101000000000U3","ARENERA JESUS",,"212321","Minería de arena y grava para la construcción","0 a 5 personas","CARRETERA","PANADERA A LA LABOR","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","0","DOMICILIO CONOCIDO",,,,,"LOCALIDAD","LA PANADERA",,,,,"01","Aguascalientes","003","Calvillo","0060","La Panadera                                                                                                   ","0064","800","4951081697",,,"Fijo","21.86675475","-102.7010687","2025-04"
"6186018","01001212319000012000000000U0","BANCO TRES MARIAS ",,"212319","Minería de otras piedras dimensionadas","6 a 10 personas","CARRETERA","CARRETERA A VILLA HIDALGO KM 14","CARRETERA","KM 14","CARRETERA","KM 14","CARRETERA","KM 14",,"KM 14",,,,,"RANCHO","EL CATORCE",,,,,"01","Aguascalientes","001","Aguascalientes","0907","El Catorce                                                                                                    ","1941","800",,,,"Fijo","21.79277778","-102.0755556","2014-12"
"11791400","01009212311000013000000000U8","CERROS DE CHOLULA","CERROS DE CHOLULA S DE RL MI","212311","Minería de piedra caliza","31 a 50 personas","CALLE","CERRO LAS PILAS","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","207",,,,,,"COLONIA","CHOLULA",,,,,"01","Aguascalientes","009","Tepezalá","0001","Tepezalá                                                                                                      ","0104","037","4651074606",,,"Fijo","22.2278168","-102.16936278","2025-04"
"9315646","01009212311000021000000000U5","LAJAS REYES",,"212311","Minería de piedra caliza","0 a 5 personas","CARRETERA","KM 99","BOULEVARD","OTTO GRANADOS ROLDAN","CALLE","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO",,"KM 99",,,,,"BARRIO","SAN RAFAEL ",,,,,"01","Aguascalientes","009","Tepezalá","0001","Tepezalá                                                                                                      ","0087","049","4493838842","TP.REYES@HOTMAIL.COM",,"Fijo","22.22672008","-102.1704597","2020-11"
"6186029","01005212321000022000062552M6","MAQUINARIA Y CONSTRUCCIONES CAFA","MAQUINARIA Y CONSTRUCCIONES CAFA SA DE CV","212321","Minería de arena y grava para la construcción","101 a 250 personas","CALLE","Avenida Salvador","CALLE","Cariñan","AVENIDA","Paso Blanco","CALLE","Chasela","0",,,,,,"FRACCIONAMIENTO","TROJES DE ALONSO",,,,"20116","01","Aguascalientes","005","Jesús María","7308","Localidad sin descripción","0035","800",,"CAFA@CAFA.COM.MX","WWW.CAFA.COM.MX","Fijo","21.95450649","-102.29010719","2011-03"
"6186016","01003212321000073001055016S4","MATERIALES PARA LA CONSTRUCCION GERO",,"212321","Minería de arena y grava para la construcción","0 a 5 personas","OTRO(ESPECIFIQUE)","LAS ANIMAS ","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","0","DOMICILIO CONOCIDO",,,,,"LOCALIDAD","LAS ANIMAS",,,,,"01","Aguascalientes","003","Calvillo","0322","Santa Anita [Granja]                                                                                          ","0083","800",,"GEROJIOR@HOTMAIL.COM",,"Fijo","21.84021008","-102.76615827","2014-12"
"6186021","01001212321000045100063370M6","MATRA CONSTRUCCION ","MATRA CONSTRUCCION  SA DE CV","212321","Minería de arena y grava para la construcción","11 a 30 personas","CALLE","Libertad","CALLE","Convención de 1914 Norte","AVENIDA","Margil de Jesús","CALLE","Acacia","1608",,,,"0",,"FRACCIONAMIENTO","LAS ARBOLEDAS",,,,"20020","01","Aguascalientes","001","Aguascalientes","0001","Aguascalientes","0290","017",,,"WWW.MATRA.COM.MX","Fijo","21.89951352","-102.30106613","2010-07"
"9324447","01003212321000091000055016M6","METERIALES PARA LA CONSTRUCCION GERO",,"212321","Minería de arena y grava para la construcción","0 a 5 personas","AVENIDA","LIBRAMIENTO CALVILLO-JALPA","CALLE","ALDAMA","CALLE","GUANAJUATO","OTRO(ESPECIFIQUE)","NINGUNO",,"KM 4+700",,,,,"COLONIA","EMILIANO ZAPATA",,,,,"01","Aguascalientes","003","Calvillo","0001","Calvillo                                                                                                      ","0153","019","4959563563",,,"Fijo","21.83931348","-102.7227417","2020-11"
"6186026","01003212319000011010000000U8","MINA EL CHISPAZO","ANTONIO PASILLAS DE LOERA SA DE CV","212399","Minería de otros minerales no metálicos","6 a 10 personas","CALLE","FRANCISCO I. MADERO","CALLE","MARAVILLAS","AVENIDA","REVOLUCION","CALLE","19 DE MARZO","106",,,,"0",,"RANCHO","EL TERRERO DE LA LABOR",,,,,"01","Aguascalientes","003","Calvillo","0095","El Terrero de la Labor                                                                                        ","0026","005",,,,"Fijo","22.02567265","-102.67212115","2010-07"
"6186015","01002213119000017010058068S0","MINERA REAL DE ANGELES","MINERA REAL DE ANGELES SA DE CV","212221","Minería de oro","251 y más personas","CARRETERA","CARRETERA RINCON DE ROMOS LORETO","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","0","SN",,,,,"NINGUNO","SANTUARIO DEL TEPOZAN",,,,,"01","Aguascalientes","002","Asientos","0253","Santuario del Tepozán                                                                                         ","0014","800",,"JEBAUTISTAA@MINERAFRISCO.COM.MX","WWW.MINERAFRISCO.COM.MX","Fijo","22.22979167","-102.104925","2010-07"
